铂电阻阻值(Rt)/mV,温度(T)/℃,超导样品电阻(R_super)/Ω
24.22,-188.63707280068004,-0.0010000000000000009
24.88,-187.03717049187924,-0.0010000000000000009
25.4,-185.7761363475387,-0.0020000000000000018
25.83,-184.73302150964903,-0.0010000000000000009
26.15,-183.9565520721221,-0.0020000000000000018
26.56,-182.96145357497207,-0.0020000000000000018
27.37,-180.9947107994925,-0.0020000000000000018
28.17,-179.05118315525456,-0.0020000000000000018
29.0,-177.03365202134452,-0.0020000000000000018
29.85,-174.96632023329167,-0.0020000000000000018
30.67,-172.97081435356256,-0.0020000000000000018
31.47,-171.02289982041452,-0.0030000000000000027
32.34,-168.90333047883973,-0.0030000000000000027
33.32,-166.51425410933976,-0.0020000000000000018
33.39,-166.34354427697068,-0.0010000000000000009
33.44,-166.22160365656512,0.0049999999999999975
33.45,-166.19721502985368,0.024999999999999998
33.48,-166.12404814439526,0.024999999999999998
33.51,-166.05087975087937,0.03799999999999999
33.58,-165.88014763415114,0.05199999999999999
33.63,-165.7581910943775,0.075
33.69,-165.61183771535778,0.077
33.76,-165.44108447908013,0.078
33.82,-165.29471802362696,0.078
34.35,-164.00155208228205,0.08099999999999999
35.17,-161.99987547034144,0.08199999999999999
36.08,-159.77717899088353,0.08399999999999999
